id,name
813,Gecco Studio Games
814,stealth.gg
815,Veral Studios
816,剑仙工作室
817,SuperChicken Productions LLC
818,Pixel Team RED
819,Sloth Planet Games
820,Aton Games
821,Legacy Epic
822,Connor Grail
823,Zen Studios
824,MineLucky
825,Krystian Majewski
826,A Salmon Game
827,DeepFatSnail Studio
828,Rose Twoan
829,Hoboayoyo
830,WJLEGAME
831,Vivid Horizon Games
832,JustusGames
833,Andy Games
834,PutUpthumb
835,Toppeepop
836,Wonderful Days
837,WnMStudio
838,Bleeding Pixels Games
839,Samle Indie Studio
840,"MAMMOSSIX Co.,Ltd."
841,Hero's Dawn Inc
842,DwebGames
843,Andrew Thomas
844,Pine Street Codeworks LLC
845,MagroPlay
846,ThatNerdPunk Games
847,Jackson Gill
848,Flip It
849,aze3dou
850,TheFifthWaffle
851,O. and Co. Games
852,deruta
853,Repose:Games
854,Bulkhead Studios Corporation
855,Solitaire.io
856,Roll Mops Interactive
857,Off Leash Entertainment
858,Pedro Fagundes
859,Rafal Grabos
860,Revulo Games
861,Jason
862,Dark Citadel
863,Montenegro Gaming
864,Galactic Forge Games
865,Okami Studio
866,LionsArt
867,"Allaith Hammed ""ZAX""​"
868,Bundem Games
869,Deezl
870,Aetherllama
871,Similitude
872,Daniel Davies
873,"Grey Havens, LLC"
874,Parallel Universe DE HK Ltd.
875,dengdeng123ni
876,Orc Group
877,Strategy Game Studio
878,"Lars ""Juksefantomet"" Grav"
879,Bowlcut Studios
880,cv006_64
881,LayTale Studios
882,Tzar Games Studio
883,ThreeByFour Games
884,Torress Studios
885,Striked GmbH
886,Motoda Media
887,HogarthDreams
888,QuietPenguinGaming
889,Vogster Entertainment
890,SkorpionEros
891,C5A
892,Koksny.com
893,Jellypig Games
894,Uiop Xever
895,Cozy corner
896,Powerhoof
897,ColorfulMaxtrix
898,Dino Island Adventure
899,飞鸟
900,Lorena Lopez
901,Iridium Studios
902,Boc Dev
903,Reimagine Media
904,First Rodeo Games
905,Benedict Ide
906,Tokisan Games
907,Crazy-Sports
908,DontCheckStudio
909,Angel Dev
910,Superkami
911,Fernando Reyes
912,Vertigo Gaming Inc.
913,VHornet Games
914,ChaoYe Liu
915,Plus Ultra Builds
916,BP Systems
917,Dawnwing House
918,Kutsunasi
919,Artnroll Games
920,522 Studios
921,mod.kitchen
922,Elya Richi
923,Megamini009
924,CodenameXenon
925,张冰墨
926,nohost
927,Sergey Marchenko
928,David Armstrong
929,Madness Men
930,Great Lakes Reality Labs
931,Systemic Games
932,MiL_Puzzle
933,Hard Ton
934,Sean Adair Entertainment
